GOV,Level of government,TAX,Revenue category,Year,Value
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2004,4001.294
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2005,4437.224
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2006,6344.029
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2007,6775.955
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2008,8280.234
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2009,8915.884
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2010,8600.519
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2011,8974.107
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2012,12518.157
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2013,13091.262
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2014,14353.194
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2015,14849.923
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2016,13452.542
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2017,14882.326
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2018,15979.815
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2019,16176.818
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2020,18620.749
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2021,19131.238
NES,Total,TOTAL,Total tax and non-tax revenue,2004,4001.294
NES,Total,TOTAL,Total tax and non-tax revenue,2005,4437.224
NES,Total,TOTAL,Total tax and non-tax revenue,2006,6344.029
NES,Total,TOTAL,Total tax and non-tax revenue,2007,6775.955
NES,Total,TOTAL,Total tax and non-tax revenue,2008,8280.234
NES,Total,TOTAL,Total tax and non-tax revenue,2009,8915.884
NES,Total,TOTAL,Total tax and non-tax revenue,2010,8600.519
NES,Total,TOTAL,Total tax and non-tax revenue,2011,8974.107
NES,Total,TOTAL,Total tax and non-tax revenue,2012,12518.157
NES,Total,TOTAL,Total tax and non-tax revenue,2013,13091.262
NES,Total,TOTAL,Total tax and non-tax revenue,2014,14353.194
NES,Total,TOTAL,Total tax and non-tax revenue,2015,14849.923
NES,Total,TOTAL,Total tax and non-tax revenue,2016,13452.542
NES,Total,TOTAL,Total tax and non-tax revenue,2017,14882.326
NES,Total,TOTAL,Total tax and non-tax revenue,2018,15979.815
NES,Total,TOTAL,Total tax and non-tax revenue,2019,16176.818
NES,Total,TOTAL,Total tax and non-tax revenue,2020,18620.749
NES,Total,TOTAL,Total tax and non-tax revenue,2021,19131.238
FED,Federal or Central government,TOTALTAX,Total tax revenue,2004,1446.374
FED,Federal or Central government,TOTALTAX,Total tax revenue,2005,1462.424
FED,Federal or Central government,TOTALTAX,Total tax revenue,2006,1543.869
FED,Federal or Central government,TOTALTAX,Total tax revenue,2007,1836.545
FED,Federal or Central government,TOTALTAX,Total tax revenue,2008,2221.514
FED,Federal or Central government,TOTALTAX,Total tax revenue,2009,2595.144
FED,Federal or Central government,TOTALTAX,Total tax revenue,2010,2932.699
FED,Federal or Central government,TOTALTAX,Total tax revenue,2011,3394.427
FED,Federal or Central government,TOTALTAX,Total tax revenue,2012,3539.267
FED,Federal or Central government,TOTALTAX,Total tax revenue,2013,4421.882
FED,Federal or Central government,TOTALTAX,Total tax revenue,2014,5182.304
FED,Federal or Central government,TOTALTAX,Total tax revenue,2015,5872.243
FED,Federal or Central government,TOTALTAX,Total tax revenue,2016,5994.806
FED,Federal or Central government,TOTALTAX,Total tax revenue,2017,6095.027
FED,Federal or Central government,TOTALTAX,Total tax revenue,2018,7288.939
FED,Federal or Central government,TOTALTAX,Total tax revenue,2019,7247.74
FED,Federal or Central government,TOTALTAX,Total tax revenue,2020,6770.868
FED,Federal or Central government,TOTALTAX,Total tax revenue,2021,7826.412
NES,Total,TOTALTAX,Total tax revenue,2004,1446.374
NES,Total,TOTALTAX,Total tax revenue,2005,1462.424
NES,Total,TOTALTAX,Total tax revenue,2006,1543.869
NES,Total,TOTALTAX,Total tax revenue,2007,1836.545
NES,Total,TOTALTAX,Total tax revenue,2008,2221.514
NES,Total,TOTALTAX,Total tax revenue,2009,2595.144
NES,Total,TOTALTAX,Total tax revenue,2010,2932.699
NES,Total,TOTALTAX,Total tax revenue,2011,3394.427
