GOV,Level of government,TAX,Revenue category,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2004,2004,LSL,Loti,6,Millions,,,4001.294,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2005,2005,LSL,Loti,6,Millions,,,4437.224,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2006,2006,LSL,Loti,6,Millions,,,6344.029,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2007,2007,LSL,Loti,6,Millions,,,6775.955,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2008,2008,LSL,Loti,6,Millions,,,8280.234,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2009,2009,LSL,Loti,6,Millions,,,8915.884,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2010,2010,LSL,Loti,6,Millions,,,8600.519,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2011,2011,LSL,Loti,6,Millions,,,8974.107,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2012,2012,LSL,Loti,6,Millions,,,12518.157,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2013,2013,LSL,Loti,6,Millions,,,13091.262,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2014,2014,LSL,Loti,6,Millions,,,14353.194,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2015,2015,LSL,Loti,6,Millions,,,14849.923,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2016,2016,LSL,Loti,6,Millions,,,13452.542,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2017,2017,LSL,Loti,6,Millions,,,14882.326,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2018,2018,LSL,Loti,6,Millions,,,15979.815,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2019,2019,LSL,Loti,6,Millions,,,16176.818,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2020,2020,LSL,Loti,6,Millions,,,18620.749,,
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2021,2021,LSL,Loti,6,Millions,,,19131.238,,
NES,Total,TOTAL,Total tax and non-tax revenue,2004,2004,LSL,Loti,6,Millions,,,4001.294,,
NES,Total,TOTAL,Total tax and non-tax revenue,2005,2005,LSL,Loti,6,Millions,,,4437.224,,
NES,Total,TOTAL,Total tax and non-tax revenue,2006,2006,LSL,Loti,6,Millions,,,6344.029,,
NES,Total,TOTAL,Total tax and non-tax revenue,2007,2007,LSL,Loti,6,Millions,,,6775.955,,
NES,Total,TOTAL,Total tax and non-tax revenue,2008,2008,LSL,Loti,6,Millions,,,8280.234,,
NES,Total,TOTAL,Total tax and non-tax revenue,2009,2009,LSL,Loti,6,Millions,,,8915.884,,
NES,Total,TOTAL,Total tax and non-tax revenue,2010,2010,LSL,Loti,6,Millions,,,8600.519,,
NES,Total,TOTAL,Total tax and non-tax revenue,2011,2011,LSL,Loti,6,Millions,,,8974.107,,
NES,Total,TOTAL,Total tax and non-tax revenue,2012,2012,LSL,Loti,6,Millions,,,12518.157,,
NES,Total,TOTAL,Total tax and non-tax revenue,2013,2013,LSL,Loti,6,Millions,,,13091.262,,
NES,Total,TOTAL,Total tax and non-tax revenue,2014,2014,LSL,Loti,6,Millions,,,14353.194,,
NES,Total,TOTAL,Total tax and non-tax revenue,2015,2015,LSL,Loti,6,Millions,,,14849.923,,
NES,Total,TOTAL,Total tax and non-tax revenue,2016,2016,LSL,Loti,6,Millions,,,13452.542,,
NES,Total,TOTAL,Total tax and non-tax revenue,2017,2017,LSL,Loti,6,Millions,,,14882.326,,
NES,Total,TOTAL,Total tax and non-tax revenue,2018,2018,LSL,Loti,6,Millions,,,15979.815,,
NES,Total,TOTAL,Total tax and non-tax revenue,2019,2019,LSL,Loti,6,Millions,,,16176.818,,
NES,Total,TOTAL,Total tax and non-tax revenue,2020,2020,LSL,Loti,6,Millions,,,18620.749,,
NES,Total,TOTAL,Total tax and non-tax revenue,2021,2021,LSL,Loti,6,Millions,,,19131.238,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2004,2004,LSL,Loti,6,Millions,,,1446.374,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2005,2005,LSL,Loti,6,Millions,,,1462.424,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2006,2006,LSL,Loti,6,Millions,,,1543.869,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2007,2007,LSL,Loti,6,Millions,,,1836.545,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2008,2008,LSL,Loti,6,Millions,,,2221.514,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2009,2009,LSL,Loti,6,Millions,,,2595.144,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2010,2010,LSL,Loti,6,Millions,,,2932.699,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2011,2011,LSL,Loti,6,Millions,,,3394.427,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2012,2012,LSL,Loti,6,Millions,,,3539.267,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2013,2013,LSL,Loti,6,Millions,,,4421.882,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2014,2014,LSL,Loti,6,Millions,,,5182.304,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2015,2015,LSL,Loti,6,Millions,,,5872.243,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2016,2016,LSL,Loti,6,Millions,,,5994.806,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2017,2017,LSL,Loti,6,Millions,,,6095.027,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2018,2018,LSL,Loti,6,Millions,,,7288.939,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2019,2019,LSL,Loti,6,Millions,,,7247.74,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2020,2020,LSL,Loti,6,Millions,,,6770.868,,
FED,Federal or Central government,TOTALTAX,Total tax revenue,2021,2021,LSL,Loti,6,Millions,,,7826.412,,
NES,Total,TOTALTAX,Total tax revenue,2004,2004,LSL,Loti,6,Millions,,,1446.374,,
NES,Total,TOTALTAX,Total tax revenue,2005,2005,LSL,Loti,6,Millions,,,1462.424,,
NES,Total,TOTALTAX,Total tax revenue,2006,2006,LSL,Loti,6,Millions,,,1543.869,,
NES,Total,TOTALTAX,Total tax revenue,2007,2007,LSL,Loti,6,Millions,,,1836.545,,
NES,Total,TOTALTAX,Total tax revenue,2008,2008,LSL,Loti,6,Millions,,,2221.514,,
NES,Total,TOTALTAX,Total tax revenue,2009,2009,LSL,Loti,6,Millions,,,2595.144,,
NES,Total,TOTALTAX,Total tax revenue,2010,2010,LSL,Loti,6,Millions,,,2932.699,,
NES,Total,TOTALTAX,Total tax revenue,2011,2011,LSL,Loti,6,Millions,,,3394.427,,
NES,Total,TOTALTAX,Total tax revenue,2012,2012,LSL,Loti,6,Millions,,,3539.267,,
NES,Total,TOTALTAX,Total tax revenue,2013,2013,LSL,Loti,6,Millions,,,4421.882,,
NES,Total,TOTALTAX,Total tax revenue,2014,2014,LSL,Loti,6,Millions,,,5182.304,,
NES,Total,TOTALTAX,Total tax revenue,2015,2015,LSL,Loti,6,Millions,,,5872.243,,
NES,Total,TOTALTAX,Total tax revenue,2016,2016,LSL,Loti,6,Millions,,,5994.806,,
NES,Total,TOTALTAX,Total tax revenue,2017,2017,LSL,Loti,6,Millions,,,6095.027,,
NES,Total,TOTALTAX,Total tax revenue,2018,2018,LSL,Loti,6,Millions,,,7288.939,,
NES,Total,TOTALTAX,Total tax revenue,2019,2019,LSL,Loti,6,Millions,,,7247.74,,
NES,Total,TOTALTAX,Total tax revenue,2020,2020,LSL,Loti,6,Millions,,,6770.868,,
NES,Total,TOTALTAX,Total tax revenue,2021,2021,LSL,Loti,6,Millions,,,7826.412,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2004,2004,LSL,Loti,6,Millions,,,786.558,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2005,2005,LSL,Loti,6,Millions,,,806.77,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2006,2006,LSL,Loti,6,Millions,,,829.284,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2007,2007,LSL,Loti,6,Millions,,,988.672,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2008,2008,LSL,Loti,6,Millions,,,1233.798,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2009,2009,LSL,Loti,6,Millions,,,1560.169,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2010,2010,LSL,Loti,6,Millions,,,1651.512,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2011,2011,LSL,Loti,6,Millions,,,2024.875,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2012,2012,LSL,Loti,6,Millions,,,1898.842,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2013,2013,LSL,Loti,6,Millions,,,2689.582,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2014,2014,LSL,Loti,6,Millions,,,3065.509,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2015,2015,LSL,Loti,6,Millions,,,3651.289,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2016,2016,LSL,Loti,6,Millions,,,3734.2,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2017,2017,LSL,Loti,6,Millions,,,3575.685,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2018,2018,LSL,Loti,6,Millions,,,4103.455,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2019,2019,LSL,Loti,6,Millions,,,4055.621,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2020,2020,LSL,Loti,6,Millions,,,3743.12,,
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2021,2021,LSL,Loti,6,Millions,,,4161.17,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2004,2004,LSL,Loti,6,Millions,,,786.558,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2005,2005,LSL,Loti,6,Millions,,,806.77,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2006,2006,LSL,Loti,6,Millions,,,829.284,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2007,2007,LSL,Loti,6,Millions,,,988.672,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2008,2008,LSL,Loti,6,Millions,,,1233.798,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2009,2009,LSL,Loti,6,Millions,,,1560.169,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2010,2010,LSL,Loti,6,Millions,,,1651.512,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2011,2011,LSL,Loti,6,Millions,,,2024.875,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2012,2012,LSL,Loti,6,Millions,,,1898.842,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2013,2013,LSL,Loti,6,Millions,,,2689.582,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2014,2014,LSL,Loti,6,Millions,,,3065.509,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2015,2015,LSL,Loti,6,Millions,,,3651.289,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2016,2016,LSL,Loti,6,Millions,,,3734.2,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2017,2017,LSL,Loti,6,Millions,,,3575.685,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2018,2018,LSL,Loti,6,Millions,,,4103.455,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2019,2019,LSL,Loti,6,Millions,,,4055.621,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2020,2020,LSL,Loti,6,Millions,,,3743.12,,
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2021,2021,LSL,Loti,6,Millions,,,4161.17,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2004,2004,LSL,Loti,6,Millions,,,567.753,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2005,2005,LSL,Loti,6,Millions,,,617.883,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2006,2006,LSL,Loti,6,Millions,,,628.036,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2007,2007,LSL,Loti,6,Millions,,,716.208,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2008,2008,LSL,Loti,6,Millions,,,850.528,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2009,2009,LSL,Loti,6,Millions,,,866.185,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2010,2010,LSL,Loti,6,Millions,,,1179.647,,
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2011,2011,LSL,Loti,6,Millions,,,1469.101,,
